word,type,inflections,freq,french,sentence
be,verb,"be, am, are, been, being, is, was, were",318018,être,I will be there tomorrow.
I,function word,I,267578,Je,"I went to the store, but I didn’t find what I needed."
you,function word,you,248266,tu,You should always be kind to others.
the,function word,the,176446,Le,The cat jumped over the fence.
a,function word,"a, an",152598,"un, une",A cat sat on the mat.
to,function word,to,151270,Bien,I need to go to the store.
it,function word,it,117091,il,It is raining today.
not,function word,not,109143,Non,It’s not going to work.
that,function word,"that, those",95271,cela,I don’t understand that function.
and,function word,and,90049,et,"I need to study, and I want to finish my homework."
of,function word,of,70505,de,The aroma of freshly baked bread filled the kitchen.
do,verb,"do, did, does, doing, done",67643,faire,Please do your homework before dinner.
have,verb,"have, had, has, having",62828,avoir,I have a question for you.
what,function word,what,62015,Quoi,What is your favorite color?
we,function word,we,61381,nous,We need to finish the project by Friday.
in,function word,in,58486,Dans,I need to be in contact with you regarding the project.
get,verb,"get, gets, getting, got, gotten",56906,prendre,I need to get to the store before it closes.
this,function word,"this, these",56116,cette,This is my favorite color.
my,function word,"my, mine",53316,mon,My favorite color is blue.
me,function word,me,51927,moi,Can you please pass the salt to me?
go,verb,"go, goes, going, gone, went",51445,aller,Let’s go to the beach tomorrow.
oh,interjection,oh,48348,Ouh,"“Oh, I didn’t realize it was this late!”"
can,verb,"can, could, cannot",46947,pouvoir,I can’t believe how much you’ve accomplished.
no,function word,no,43447,Non,"“No, I don’t want to go.”"
on,function word,on,43007,sur,The cat was sitting on the mat.
for,function word,for,42850,Pour,I need your help for this project.
know,verb,"know, knew, knowing, known, knows",40007,savoir,I know that he’s been feeling unwell lately.
just,adverb,just,39366,juste,I just need to finish this report.
your,function word,your,39164,ton,Please tell me your name.
's,function word,"'s, '",37343,eh bien,"“Well, let’s just try it.”"
all,function word,all,35728,tout,All the students passed the exam.
so,adverb,so,35491,donc,"So, he decided to leave without saying goodbye."
with,function word,with,34115,avec,I finished the project with my team.
he,function word,he,33653,il,He arrived late to the meeting.
but,function word,but,30070,mais,"I wanted to go to the beach, but it started raining."
yeah,adverb,yeah,28499,Ouf,"Yeah, that’s exactly what I was thinking."
well,adverb,well,28025,bien,She swam well in the cool water.
think,verb,"think, thinking, thinks, thought",25894,pensez,I think it’s a beautiful day.
here,adverb,here,25170,ici,"Please put your keys here.

Ici."
want,verb,"want, wanted, wanting, wants",24829,vouloir,I want a cup of coffee.
out,adverb,out,24533,dehors,The cat ran out into the garden.
about,function word,about,23244,environ,The meeting will start about 3:00 PM.
good,adjective,"good, better, best",22907,bon,She baked a good cake for the party.
come,verb,"come, came, comes, coming",22535,viens,Please come join us for dinner.
up,adverb,up,22171,en haut,The climber carefully ascended up the steep rock face.
say,verb,"say, said, saying, says",21603,dire,Please say you’ll be there.
now,adverb,now,21312,maintenant,Now is the time to finish the project.
at,function word,at,21243,À,The meeting was held at the community center.
one,numerals,"one, ones",21176,un,I only needed one of the apples.
hey,interjection,hey,21166,Salut,"Hey, are you coming to the party?"
they,function word,they,21051,ils,They decided to go to the park.
see,verb,"see, saw, seeing, seen, sees",20925,voir,I hope to see you again soon.
if,function word,if,19770,Si,"If it rains, we will stay inside."
how,adverb,how,19474,comment,How could you have possibly known?
like,verb,"like, liked, likes, liking",19165,aimer,I like spending time with my friends.
she,function word,she,19043,elle,She went to the store.
look,verb,"look, looked, looking, looks",18129,regarder,Please look at the beautiful sunset.
make,verb,"make, made, makes, making",17038,faire,Please make sure to double-check the calculations before submitting the report.
right,adjective,right,16390,Droit,The artist’s right hand guided the brush with precision.
guy,noun,"guy, guys",15738,mec,That guy helped me carry my groceries.
take,verb,"take, taken, takes, taking, took",15582,prendre,Please take a seat.
let,verb,"let, lets, letting",15257,laisser,Please let me out of here.
really,adverb,really,15209,vraiment,I was really happy to see you.
okay,adverb,okay,14801,d'accord,"Okay, let’s proceed with the project as planned."
her,function word,her,14759,elle,Her performance was exceptional.
uh,interjection,"uh, um",14667,Euh,"“Euh, I wasn’t quite sure how to answer that question.”"
tell,verb,"tell, telling, tells, told",14661,dire,Please tell me if you need any help.
him,function word,him,14270,lui,"I asked the doctor to treat her, not him."
why,adverb,why,14194,Pourquoi,I don’t understand why he left without saying goodbye.
there,adverb,there,14067,là,The keys were left there.
who,function word,who,13916,Qui,Who is going to the party?
time,noun,"time, times",13834,Temps,Spending time with family is precious.
thing,noun,"thing, things",12547,chose,That was just a simple thing to understand.
from,function word,from,12409,de,The decision came from the committee.
will,verb,"will, willing, would",11923,vouloir,I will finish the project by tomorrow.
like,adverb,like,11556,comme,She danced like a graceful ballerina.
when,adverb,when,11544,quand,I’ll call you when I arrive.
as,function word,as,11415,ainsi,"As the rain fell, the flowers bloomed as well."
because,function word,because,11396,parce que,I stayed up late because I was watching a movie.
some,function word,some,11370,quelques,Some people enjoy spicy food.
our,function word,our,11333,notre,Our team worked tirelessly to achieve the goal.
yes,adverb,yes,11118,Oui,"Yes, he agreed to the proposal with a resounding yes."
there,function word,there,11044,là,There is a problem with the code.
back,adverb,back,10865,Retour,Please come back soon.
mean,verb,"mean, meaning, means, meant",10833,être méchant,"He meant to apologize, but his words still sounded mean."
man,noun,"man, men",10340,homme,The man walked slowly down the street.
little,adjective,little,10258,petit,The little bird chirped happily in the sunshine.
give,verb,"give, gave, given, gives, giving",10173,donner,Please give me the information I need.
his,function word,his,10145,son,His car was parked in the driveway.
us,function word,us,10058,nous,Let us go to the store.
them,function word,them,9857,eux,"They asked if they could help with the project, and then they offered their expertise."
need,verb,"need, needed, needs, needing",9654,avoir besoin,I need to finish this report by tomorrow.
then,adverb,then,9584,ensuite,"Then, we decided to go for a walk in the park."
shall,verb,"shall, should",9411,devrait,Shall we begin the meeting now?
or,function word,or,9272,ou,Do you want coffee or tea?
talk,verb,"talk, talked, talking, talks",9197,parler,Let’s talk about our plans for the weekend.
okay,adjective,"okay, OK",9098,Bien,"Okay, he gave the okay signal before starting the project."
something,function word,something,9075,quelque chose,I need something to help me understand this problem.
where,adverb,where,8941,là,I don’t know where she went.
great,adjective,"great, greater, greatest",8778,génial,"The concert was absolutely great, and the audience went wild."
way,noun,"way, ways",8759,chemin,"The only way to reach the summit was a treacherous, winding path."
never,adverb,never,8620,jamais,I will never forget our first meeting.
call,verb,"call, called, calling, calls",8413,appeler,Please call me when you arrive.
too,adverb,too,8300,trop,It was too hot to go outside.
by,function word,by,8133,par,The decision was made by the committee.
sorry,adjective,sorry,8050,désolé,The sorry expression on his face was truly désolé.
over,function word,over,8041,sur,The meeting will be held over Zoom.
love,verb,"love, loved, loves, loving",8010,aimer,I love spending time with my family.
wait,verb,"wait, waited, waiting, waits",7947,attendre,I had to wait for the bus to arrive.
more,function word,more,7922,plus,I need more time to finish the project.
down,adverb,down,7782,en bas,The rain fell down relentlessly.
day,noun,"day, days",7704,jour,That day was filled with unexpected adventures.
two,numerals,"two, twos",7221,deux,I need two apples for the pie.
people,noun,people,7104,gens,The lively crowd of people cheered for the winning team.
God,interjection,God,7062,Dieu,"“God, I can’t believe it!”"
very,adverb,very,6974,très,The weather was very cold today.
off,function word,off,6967,Également,The computer was off when I arrived.
work,verb,"work, worked, working, works",6741,travailler,I need to work late tonight to finish the project.
thank,verb,"thank, thanked, thanking, thanks",6716,merci,Thank you for your assistance.
big,adjective,"big, bigger, biggest",6674,grand,"The old dog had a big, comfortable bed."
try,verb,"try, tried, tries, trying",6611,Essayer,I will try to finish the puzzle before the deadline.
dad,noun,"dad, dads",6596,père,My dad always makes the best pancakes on Sunday mornings.
maybe,adverb,maybe,6499,peut-être,"Maybe he’ll still come to the party, but I’m not sure."
feel,verb,"feel, feeling, feels, felt",6479,sentir,I felt a sudden chill in the air.
friend,noun,"friend, friends",6447,ami,My best friend and I went to the concert.
even,adverb,even,6221,même,"Even though it was raining, we decided to go for a walk."
sure,adjective,"sure, surer, surest",6177,certain,I’m sure I locked the door before leaving.
find,verb,"find, finding, finds, found",6172,trouver,I hope to find a solution to the problem.
kid,noun,"kid, kids",6056,enfant,The kid was building an elaborate sandcastle on the beach.
these,function word,these,5950,ceux-ci,These cookies are much better than those.
boy,noun,"boy, boys",5937,garçon,The boy ran quickly across the park.
put,verb,"put, puts, putting",5863,mettre,Please put the books back on the shelf.
please,adverb,please,5856,"s'il,il","Please, if you could just help me with this."
happen,verb,"happen, happened, happening, happens",5854,arriver,"Sometimes, unexpected things just happen."
much,function word,much,5811,Beaucoup,I don’t want much.
stop,verb,"stop, stopped, stopping, stops",5799,Arrêtez,Please stop talking so loudly.
night,noun,"night, nights",5761,nuit,The stars shone brightly during the night.
bad,adjective,"bad, worse, worst",5716,Mauvais,"The weather was terribly bad, making our picnic a miserable experience."
into,function word,into,5686,dans,The water flowed into the river.
those,function word,those,5686,ceux-ci,"Those books are overdue, and we need to return them soon."
any,function word,any,5626,aucun,I don’t care if he does any of the work.
right,interjection,right,5623,Ouh!,"“Right?” she exclaimed, surprised by the unexpected news."
first,numerals,first,5605,premier,The first numeral on the test was a challenging problem.
leave,verb,"leave, leaves, leaving, left",5529,quitter,Please leave the room while I finish this.
year,noun,"year, years",5520,année,That particular year brought unexpected challenges.
hear,verb,"hear, heard, hearing, hears",5517,entendre,I could hear the birds singing in the morning.
right,adverb,right,5334,droite,The airplane flew right down the runway.
ever,adverb,ever,5259,Jamais,I’ve never seen such a beautiful sunset.
Mr,noun,"Mr., Messrs.",5256,Monsieur,Mr. Smith waved to the crowd after the concert.
again,adverb,again,5254,encore,I wanted to try the recipe again.
use,verb,"use, used, uses, using",5245,Utiliser,Please use your key carefully to avoid damaging it.
mom,noun,"mom, moms",5205,Maman,My mom always knows how to make me feel better.
may,verb,"may, might",5180,pouvoir,I may go to the party if I finish my work early.
hi,interjection,hi,5173,Salut,"“Hi, how are you doing today?”"
life,noun,"life, lives",5169,vie,Her entire life was dedicated to helping others.
nice,adjective,"nice, nicer, nicest",5059,gentil,It was a really nice day to go for a walk.
new,adjective,"new, newer, newest",5055,nouveau,The restaurant served a new menu for the season.
still,adverb,still,5024,toujours,"The rain continued to fall, but the air remained still."
kind,noun,"kind, kinds",4928,Gentillesse,Her kind gestures brought comfort to the grieving family.
anything,function word,anything,4714,n'importe quoi,"I don’t care what you do, anything is acceptable."
only,adverb,only,4704,seulement,I will only eat the apples.
baby,noun,"baby, babies",4676,bébé,The baby giggled as she played with her rattle.
than,function word,than,4671,que,I would rather go for a walk than stay inside.
fine,adjective,"fine, finer, finest",4571,bien,He felt fine after a good night’s sleep.
hello,interjection,hello,4554,Salut,"“Hello!” she shouted, waving enthusiastically."
keep,verb,"keep, keeping, keeps, kept",4549,garder,Please keep the door closed when you leave.
girl,noun,"girl, girls",4526,fille,The little girl skipped down the street.
help,verb,"help, helped, helping, helps",4519,Aider,Please help me with this problem.
believe,verb,"believe, believed, believes, believing",4502,croire,I believe he is telling the truth.
woman,noun,"woman, women",4444,femme,The woman walked confidently down the busy street.
lot,noun,"lot, lots",4408,terrain,We needed a lot of space to set up the entire event.
play,verb,"play, played, playing, plays",4377,jouer,The children love to play in the park.
ask,verb,"ask, asked, asking, asks",4367,demander,Please ask him politely about the meeting time.
start,verb,"start, started, starting, starts",4363,commencer,Let’s start the meeting now.
home,noun,"home, homes",4348,maison,"After a long day of traveling, all I wanted was to return home."
nothing,function word,nothing,4330,rien,I told him nothing about the surprise party.
hmm,interjection,"hmm, hm",4242,Humm,"“Hmm, I’m not sure I understand the instructions completely.”"
their,function word,"their, theirs",4191,les,Their house was painted a vibrant blue.
meet,verb,"meet, meeting, meets, met",4185,rencontrer,I hope to meet you again soon.
huh,interjection,huh,4127,Hé,"“Huh, I don’t understand what you’re saying.”"
show,verb,"show, showed, showing, shown, shows",4075,montrer,The magician used his skills to show the audience an incredible illusion.
around,function word,around,4013,autour,The children ran around the playground.
guess,verb,"guess, guessed, guesses, guessing",3988,deviner,I’ll guess it’s a beautiful day outside.
old,adjective,"old, older, oldest",3955,vieux,The old house stood silently on the hill.
hell,noun,hell,3890,Enfer,The rumors of the monster’s lair led him to believe he’d fallen into hell.
before,function word,before,3883,avant,I finished the report before the meeting started.
always,adverb,always,3868,toujours,She always remembers to bring a snack to the park.
three,numerals,"three, threes",3861,trois,"I need three apples, two bananas, and one orange."
wow,interjection,wow,3758,Wah,"“Wow, that’s an incredible view!”"
listen,verb,"listen, listened, listening, listens",3744,Écouter,Please listen carefully to what I’m saying.
thanks,interjection,thanks,3726,Merci,"“Thanks, you’re a lifesaver!”"
minute,noun,"minute, minutes",3718,minute,I waited a minute for the bus to arrive.
actually,adverb,actually,3706,vraiment,"Actually, I didn’t expect him to finish the project so quickly."
eat,verb,"eat, ate, eaten, eating, eats",3701,manger,I enjoy eating a large bowl of pasta.
place,noun,"place, places",3620,Lieu,The quiet cafe was my favorite place to read.
live,verb,"live, lived, lives, living",3571,vivre,We hope to live a long and happy life.
away,adverb,away,3498,loin,The dog ran away into the woods.
after,function word,after,3483,après,"After the meeting, we will discuss the next steps."
bring,verb,"bring, bringing, brings, brought",3469,apporter,Please bring me a glass of water.
