word,type,inflections,freq
be,verb,"be, am, are, been, being, is, was, were",318018
I,function word,I,267578
you,function word,you,248266
the,function word,the,176446
a,function word,"a, an",152598
to,function word,to,151270
it,function word,it,117091
not,function word,not,109143
that,function word,"that, those",95271
and,function word,and,90049
of,function word,of,70505
do,verb,"do, did, does, doing, done",67643
have,verb,"have, had, has, having",62828
what,function word,what,62015
we,function word,we,61381
in,function word,in,58486
get,verb,"get, gets, getting, got, gotten",56906
this,function word,"this, these",56116
my,function word,"my, mine",53316
me,function word,me,51927
go,verb,"go, goes, going, gone, went",51445
oh,interjection,oh,48348
can,verb,"can, could, cannot",46947
no,function word,no,43447
on,function word,on,43007
for,function word,for,42850
know,verb,"know, knew, knowing, known, knows",40007
just,adverb,just,39366
your,function word,your,39164
's,function word,"'s, '",37343
all,function word,all,35728
so,adverb,so,35491
with,function word,with,34115
he,function word,he,33653
but,function word,but,30070
yeah,adverb,yeah,28499
well,adverb,well,28025
think,verb,"think, thinking, thinks, thought",25894
here,adverb,here,25170
want,verb,"want, wanted, wanting, wants",24829
out,adverb,out,24533
about,function word,about,23244
good,adjective,"good, better, best",22907
come,verb,"come, came, comes, coming",22535
up,adverb,up,22171
say,verb,"say, said, saying, says",21603
now,adverb,now,21312
at,function word,at,21243
one,numerals,"one, ones",21176
hey,interjection,hey,21166
they,function word,they,21051
see,verb,"see, saw, seeing, seen, sees",20925
if,function word,if,19770
how,adverb,how,19474
like,verb,"like, liked, likes, liking",19165
she,function word,she,19043
look,verb,"look, looked, looking, looks",18129
make,verb,"make, made, makes, making",17038
right,adjective,right,16390
guy,noun,"guy, guys",15738
take,verb,"take, taken, takes, taking, took",15582
let,verb,"let, lets, letting",15257
really,adverb,really,15209
okay,adverb,okay,14801
her,function word,her,14759
uh,interjection,"uh, um",14667
tell,verb,"tell, telling, tells, told",14661
him,function word,him,14270
why,adverb,why,14194
there,adverb,there,14067
who,function word,who,13916
time,noun,"time, times",13834
thing,noun,"thing, things",12547
from,function word,from,12409
will,verb,"will, willing, would",11923
like,adverb,like,11556
when,adverb,when,11544
as,function word,as,11415
because,function word,because,11396
some,function word,some,11370
our,function word,our,11333
yes,adverb,yes,11118
there,function word,there,11044
back,adverb,back,10865
mean,verb,"mean, meaning, means, meant",10833
man,noun,"man, men",10340
little,adjective,little,10258
give,verb,"give, gave, given, gives, giving",10173
his,function word,his,10145
us,function word,us,10058
them,function word,them,9857
need,verb,"need, needed, needs, needing",9654
then,adverb,then,9584
shall,verb,"shall, should",9411
or,function word,or,9272
talk,verb,"talk, talked, talking, talks",9197
okay,adjective,"okay, OK",9098
something,function word,something,9075
where,adverb,where,8941
great,adjective,"great, greater, greatest",8778
way,noun,"way, ways",8759
never,adverb,never,8620
call,verb,"call, called, calling, calls",8413
too,adverb,too,8300
by,function word,by,8133
sorry,adjective,sorry,8050
over,function word,over,8041
love,verb,"love, loved, loves, loving",8010
wait,verb,"wait, waited, waiting, waits",7947
more,function word,more,7922
down,adverb,down,7782
day,noun,"day, days",7704
two,numerals,"two, twos",7221
people,noun,people,7104
God,interjection,God,7062
very,adverb,very,6974
off,function word,off,6967
work,verb,"work, worked, working, works",6741
thank,verb,"thank, thanked, thanking, thanks",6716
big,adjective,"big, bigger, biggest",6674
try,verb,"try, tried, tries, trying",6611
dad,noun,"dad, dads",6596
maybe,adverb,maybe,6499
feel,verb,"feel, feeling, feels, felt",6479
friend,noun,"friend, friends",6447
even,adverb,even,6221
sure,adjective,"sure, surer, surest",6177
find,verb,"find, finding, finds, found",6172
kid,noun,"kid, kids",6056
these,function word,these,5950
boy,noun,"boy, boys",5937
put,verb,"put, puts, putting",5863
please,adverb,please,5856
happen,verb,"happen, happened, happening, happens",5854
much,function word,much,5811
stop,verb,"stop, stopped, stopping, stops",5799
night,noun,"night, nights",5761
bad,adjective,"bad, worse, worst",5716
into,function word,into,5686
those,function word,those,5686
any,function word,any,5626
right,interjection,right,5623
first,numerals,first,5605
leave,verb,"leave, leaves, leaving, left",5529
year,noun,"year, years",5520
hear,verb,"hear, heard, hearing, hears",5517
right,adverb,right,5334
ever,adverb,ever,5259
Mr,noun,"Mr., Messrs.",5256
again,adverb,again,5254
use,verb,"use, used, uses, using",5245
mom,noun,"mom, moms",5205
may,verb,"may, might",5180
hi,interjection,hi,5173
life,noun,"life, lives",5169
nice,adjective,"nice, nicer, nicest",5059
new,adjective,"new, newer, newest",5055
still,adverb,still,5024
kind,noun,"kind, kinds",4928
anything,function word,anything,4714
only,adverb,only,4704
baby,noun,"baby, babies",4676
than,function word,than,4671
fine,adjective,"fine, finer, finest",4571
hello,interjection,hello,4554
keep,verb,"keep, keeping, keeps, kept",4549
girl,noun,"girl, girls",4526
help,verb,"help, helped, helping, helps",4519
believe,verb,"believe, believed, believes, believing",4502
woman,noun,"woman, women",4444
lot,noun,"lot, lots",4408
play,verb,"play, played, playing, plays",4377
ask,verb,"ask, asked, asking, asks",4367
start,verb,"start, started, starting, starts",4363
home,noun,"home, homes",4348
nothing,function word,nothing,4330
hmm,interjection,"hmm, hm",4242
their,function word,"their, theirs",4191
meet,verb,"meet, meeting, meets, met",4185
huh,interjection,huh,4127
show,verb,"show, showed, showing, shown, shows",4075
around,function word,around,4013
guess,verb,"guess, guessed, guesses, guessing",3988
old,adjective,"old, older, oldest",3955
hell,noun,hell,3890
before,function word,before,3883
always,adverb,always,3868
three,numerals,"three, threes",3861
wow,interjection,wow,3758
listen,verb,"listen, listened, listening, listens",3744
thanks,interjection,thanks,3726
minute,noun,"minute, minutes",3718
actually,adverb,actually,3706
eat,verb,"eat, ate, eaten, eating, eats",3701
place,noun,"place, places",3620
live,verb,"live, lived, lives, living",3571
away,adverb,away,3498
after,function word,after,3483
bring,verb,"bring, bringing, brings, brought",3469
every,function word,every,3463
everything,function word,everything,3375
money,noun,money,3352
person,noun,"person, people, persons",3351
watch,verb,"watch, watched, watches, watching",3351
other,adjective,other,3345
remember,verb,"remember, remembered, remembering, remembers",3344
house,noun,"house, houses",3327
wrong,adjective,wrong,3294
kill,verb,"kill, killed, killing, kills",3278
school,noun,"school, schools",3243
everyone,function word,everyone,3242
run,verb,"run, ran, running, runs",3229
late,adjective,"late, later, latest",3221
care,verb,"care, cared, cares, caring",3199
car,noun,"car, cars",3191
move,verb,"move, moved, moves, moving",3187
ah,interjection,"ah, aah",3158
idea,noun,"idea, ideas",3136
another,function word,another,3083
someone,function word,someone,3080
today,adverb,today,3055
turn,verb,"turn, turned, turning, turns",3042
real,adjective,real,3008
happy,adjective,"happy, happier, happiest",2995
whole,adjective,whole,2956
week,noun,"week, weeks",2954
job,noun,"job, jobs",2948
fun,noun,fun,2933
problem,noun,"problem, problems",2931
